#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value
1279,cristhian_mosquera_19,Cristhian Mosquera,19,35,1,0,0,3,53,3,1.6,0,0,0,0,0.2,0,0.2,0,1,1,0,4.00,2.00,3.00,1.00,0.00,1.00,1.00,12.31,5.00,5.00,0.00,2.00,0.00,9.30,0.00,0.20,1.00,0.62,1.00,0.00,0.00,1000000.00
1290,alvaro_negredo_38,Álvaro Negredo,38,10,0,1,0,1,48,3,8.4,1,2,3,1,1.8,2.4,4.2,4,17,22,0.36,5.00,4.00,1.00,2.00,2.00,4.00,3.00,0.00,5.00,8.00,0.00,22.00,7.00,16.80,0.00,1.80,21.00,2.49,13.00,3.00,4.00,1000000.00
1300,lucas_oliveira_rosa_23,Lucas Oliveira Rosa,23,12,1,0,0,3,44,3,10.3,0,1,1,0,0.4,1,1.4,24,22,61,0.1,39.00,18.00,23.00,10.00,6.00,12.00,10.00,15.00,54.00,24.00,0.00,6.00,1.00,18.10,0.00,0.40,19.00,1.84,13.00,0.00,1.00,1000000.00
1330,jose_pozo_27,José Pozo,27,10,0,1,1,4,58,3,1,0,0,0,0,0,0.1,0.1,5,6,7,0,2.00,2.00,0.00,2.00,0.00,0.00,0.00,1.00,3.00,1.00,0.00,1.00,0.00,20.90,0.00,0.00,7.00,7.16,7.00,0.00,1.00,1000000.00
1353,angel_rodriguez_36,Ángel Rodríguez,36,10,0,1,1,4,54,3,4.4,1,0,1,1,2.8,0.1,2.8,4,6,19,0.23,1.00,1.00,0.00,1.00,0.00,3.00,3.00,12.31,2.00,1.00,0.00,13.00,6.00,13.10,0.00,2.80,5.00,1.14,4.00,0.00,0.00,1000000.00
1367,kike_salas_21,Kike Salas,21,10,1,0,0,3,42,3,4.1,1,1,2,1,0.2,0.2,0.4,3,14,0,0.49,1.00,1.00,1.00,0.00,0.00,4.00,1.00,1.40,6.00,23.00,0.00,3.00,1.00,8.70,0.00,0.20,1.00,0.24,0.00,1.00,1.00,1000000.00
1387,damian_suarez_35,Damián Suárez,35,25,1,0,1,5,51,3,21.6,1,1,2,1,1.1,1.8,2.9,21,80,72,0.09,49.00,33.00,23.00,19.00,7.00,40.00,40.00,1.14,64.00,36.00,0.00,6.00,1.00,19.00,0.00,1.10,47.00,2.17,29.00,0.00,2.00,1000000.00
1413,kevin_vazquez_30,Kevin Vázquez,30,10,1,0,1,5,45,3,4.9,0,0,0,0,0,0.1,0.1,5,13,14,0,13.00,8.00,5.00,7.00,1.00,4.00,3.00,1.10,15.00,8.00,0.00,0.00,0.00,,0.00,0.00,5.00,1.02,5.00,0.00,0.00,1000000.00
320,angelo_ogbonna_35,Angelo Ogbonna,35,42,1,0,0,3,4,1,13.7,0,0,0,0,0.3,0.2,0.5,0,11,2,0,11.00,4.00,7.00,4.00,0.00,11.00,4.00,17.00,28.00,74.00,1.00,3.00,0.00,12.60,0.00,0.30,6.00,0.44,5.00,0.00,0.00,900000.00
511,enzo_barrenechea_22,Enzo Barrenechea,22,11,0,0,1,2,37,2,1.8,0,0,0,0,0.1,0,0.1,1,5,2,0,8.00,3.00,3.00,4.00,1.00,3.00,3.00,2.00,10.00,3.00,0.00,2.00,0.00,11.40,0.00,0.10,1.00,0.57,1.00,0.00,0.00,900000.00
573,vlad_chiriches_33,Vlad Chiricheș,33,66,1,0,0,3,26,2,10.9,0,0,0,0,0,0,0,2,18,1,0,35.00,20.00,27.00,7.00,1.00,36.00,13.00,22.00,57.00,44.00,0.00,0.00,0.00,,0.00,0.00,5.00,0.46,5.00,0.00,1.00,900000.00
658,gvidas_gineitis_19,Gvidas Gineitis,19,71,0,0,1,2,28,2,1.5,0,0,0,0,0,0,0,3,6,7,0,3.00,1.00,0.00,2.00,1.00,0.00,0.00,0.00,3.00,1.00,0.00,1.00,0.00,27.70,0.00,0.00,3.00,1.99,3.00,0.00,0.00,900000.00
683,petko_hristov_24,Petko Hristov,24,61,1,0,0,3,27,2,4.1,0,0,0,0,0.1,0,0.1,2,8,3,0,6.00,4.00,2.00,4.00,0.00,4.00,2.00,4.00,10.00,12.00,0.00,1.00,0.00,10.00,0.00,0.10,3.00,0.74,1.00,1.00,1.00,900000.00
995,anuar_28,Anuar,28,4,0,1,1,4,44,3,2.3,1,0,1,1,0.3,0.4,0.8,6,3,4,0.43,4.00,4.00,0.00,1.00,3.00,5.00,3.00,3.00,7.00,3.00,0.00,3.00,1.00,13.00,0.00,0.30,4.00,1.71,2.00,0.00,1.00,900000.00
1081,youba_diarra_25,Youba Diarra,25,26,0,0,1,2,48,3,1.1,0,0,0,0,0,0.5,0.5,1,3,1,0,3.00,0.00,2.00,1.00,0.00,7.00,6.00,1.10,5.00,3.00,0.00,0.00,0.00,,0.00,0.00,3.00,2.76,3.00,0.00,0.00,900000.00
1366,samuel_saiz_32,Samuel Sáiz,32,10,0,0,1,2,55,3,2.7,2,0,2,0,0.1,0.2,0.4,5,17,18,0,2.00,2.00,0.00,2.00,0.00,3.00,3.00,0.00,2.00,1.00,1.00,2.00,1.00,26.20,0.00,1.70,6.00,2.23,6.00,0.00,0.00,900000.00
426,james_tomkins_34,James Tomkins,34,3,1,0,0,3,5,1,3.8,1,0,1,1,1,0,1,1,2,1,0.27,4.00,2.00,2.00,1.00,1.00,3.00,1.00,5.00,9.00,19.00,0.00,3.00,2.00,12.70,0.00,1.00,0.00,0.00,0.00,0.00,0.00,800000.00
