#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value
179,erling_haaland_23,Erling Haaland,23,7,0,1,0,1,8,1,30.8,36,8,44,29,23.1,5.3,28.4,35,58,151,1.2,3.00,2.00,0.00,2.00,1.00,12.00,8.00,3.00,6.00,14.00,0.00,116.00,53.00,12.60,0.00,28.40,72.00,2.34,48.00,10.00,17.00,180000000.00
1185,vinicius_junior_23,Vinicius Júnior,23,12,0,1,0,1,47,3,31.4,10,9,19,10,10.5,9.4,19.9,221,87,495,0.61,30.00,21.00,10.00,12.00,8.00,24.00,23.00,1.50,36.00,1.00,0.00,77.00,36.00,16.20,0.00,10.50,161.00,5.13,103.00,11.00,21.00,150000000.00
373,bukayo_saka_21,Bukayo Saka,21,3,0,1,0,1,20,1,35.3,14,11,25,12,9.1,8.5,17.6,179,109,520,0.65,63.00,34.00,22.00,15.00,26.00,38.00,38.00,1.13,77.00,19.00,0.00,86.00,29.00,16.30,1.00,11.20,161.00,4.56,106.00,11.00,28.00,120000000.00
800,victor_osimhen_24,Victor Osimhen,24,17,0,1,0,1,40,2,28.5,26,4,30,24,18.9,2.8,21.8,43,28,196,0.98,10.00,6.00,1.00,2.00,7.00,6.00,5.00,1.50,16.00,29.00,0.00,132.00,52.00,12.80,1.00,21.30,80.00,2.80,54.00,11.00,9.00,120000000.00
144,phil_foden_23,Phil Foden,23,3,0,1,0,1,8,1,20.5,11,6,17,11,5.9,4.7,10.6,68,88,275,0.83,16.00,10.00,9.00,5.00,2.00,25.00,23.00,1.40,21.00,12.00,0.00,46.00,22.00,15.30,1.00,5.90,99.00,4.83,76.00,5.00,14.00,110000000.00
1314,pedri_20,Pedri,20,10,0,0,1,2,49,3,22,6,1,7,6,4.9,5,9.9,67,184,99,0.32,39.00,22.00,15.00,17.00,7.00,27.00,27.00,13.00,52.00,8.00,1.00,22.00,9.00,15.90,0.00,4.90,87.00,3.96,74.00,2.00,11.00,100000000.00
1357,rodrygo_22,Rodrygo,22,12,0,1,1,4,47,3,26.4,9,8,17,8,12.9,7,19.9,146,81,268,0.61,17.00,10.00,3.00,7.00,7.00,23.00,23.00,1.70,25.00,5.00,0.00,97.00,31.00,16.60,8.00,13.70,133.00,5.03,78.00,9.00,21.00,100000000.00
1411,federico_valverde_25,Federico Valverde,25,25,0,1,1,4,47,3,27.8,7,4,11,7,4.3,6.3,10.6,70,151,135,0.4,31.00,20.00,14.00,11.00,6.00,31.00,27.00,17.00,48.00,15.00,0.00,63.00,21.00,22.70,2.00,4.30,81.00,2.91,77.00,1.00,14.00,100000000.00
219,harry_kane_30,Harry Kane,30,3,0,1,0,1,18,1,37.8,30,3,33,25,16.7,7,23.7,60,180,193,0.74,15.00,12.00,1.00,6.00,8.00,27.00,20.00,2.00,17.00,18.00,0.00,124.00,54.00,16.00,3.00,21.50,131.00,3.46,89.00,12.00,18.00,90000000.00
356,declan_rice_24,Declan Rice,24,3,0,0,1,2,4,1,36.4,4,1,5,4,1.6,3.2,4.8,88,240,37,0.14,79.00,38.00,44.00,31.00,4.00,45.00,30.00,3.30,142.00,58.00,0.00,35.00,8.00,23.60,1.00,2.40,100.00,2.75,86.00,1.00,6.00,90000000.00
475,martin_odegaard_24,Martin Ødegaard,24,7,0,0,1,2,20,1,34.7,15,7,22,15,10,8.1,18.1,83,266,193,0.63,36.00,23.00,12.00,14.00,10.00,20.00,15.00,6.00,42.00,12.00,1.00,93.00,31.00,19.20,9.00,10.00,163.00,4.69,123.00,12.00,17.00,90000000.00
722,rafael_leao_24,Rafael Leão,24,31,0,1,1,4,24,2,26.9,15,8,23,15,10.8,7,17.9,136,122,235,0.86,8.00,7.00,2.00,3.00,3.00,9.00,7.00,15.00,23.00,8.00,0.00,92.00,29.00,17.90,0.00,10.80,123.00,4.57,80.00,8.00,18.00,90000000.00
1132,gavi_19,Gavi,19,10,0,1,1,4,49,3,28.1,2,4,6,2,3.2,3.7,6.9,49,134,153,0.21,47.00,31.00,7.00,30.00,10.00,32.00,27.00,18.00,65.00,22.00,0.00,28.00,8.00,16.60,0.00,3.20,72.00,2.56,59.00,4.00,7.00,90000000.00
714,khvicha_kvaratskhelia_22,Khvicha Kvaratskhelia,22,75,0,1,0,1,40,2,28,12,10,22,10,6.6,7.7,14.2,139,91,291,0.71,43.00,23.00,12.00,8.00,23.00,20.00,20.00,5.00,48.00,6.00,1.00,83.00,30.00,19.10,3.00,8.20,136.00,4.86,90.00,13.00,24.00,85000000.00
754,lautaro_martinez_26,Lautaro Martínez,26,11,0,1,0,1,23,2,28.6,21,6,27,20,16.5,5.4,21.9,49,83,172,0.91,25.00,14.00,3.00,15.00,7.00,31.00,30.00,13.00,38.00,16.00,1.00,125.00,51.00,15.10,0.00,18.10,94.00,3.28,65.00,13.00,16.00,85000000.00
1040,eduardo_camavinga_20,Eduardo Camavinga,20,5,1,0,1,5,47,3,22.3,0,1,1,0,0.8,1.5,2.3,69,165,99,0.04,68.00,48.00,32.00,21.00,15.00,24.00,19.00,17.00,85.00,25.00,0.00,18.00,3.00,23.20,0.00,0.80,72.00,3.23,55.00,3.00,5.00,85000000.00
1392,aurelien_tchouameni_23,Aurélien Tchouaméni,23,5,0,0,1,2,47,3,23.5,0,4,4,0,1.8,2.2,4,41,142,23,0.17,64.00,40.00,23.00,36.00,5.00,20.00,14.00,2.17,113.00,50.00,0.00,38.00,6.00,22.10,0.00,1.80,63.00,2.67,53.00,3.00,12.00,85000000.00
109,ruben_dias_26,Rúben Dias,26,31,1,0,0,3,8,1,22.2,0,0,0,0,1.3,0.6,1.9,14,98,2,0,21.00,13.00,10.00,10.00,1.00,21.00,8.00,1.17,39.00,56.00,1.00,10.00,2.00,9.10,0.00,1.30,15.00,0.68,11.00,3.00,1.00,80000000.00
141,enzo_fernandez_22,Enzo Fernández,22,11,0,0,1,2,14,1,17.2,0,2,2,0,0.8,2.4,3.2,22,168,18,0.12,45.00,27.00,25.00,17.00,3.00,32.00,30.00,16.00,61.00,12.00,1.00,20.00,3.00,25.70,2.00,0.80,59.00,3.43,49.00,2.00,6.00,80000000.00
272,martinelli_22,Martinelli,22,12,0,1,0,1,20,1,31,15,5,20,15,9.3,9.1,18.4,124,94,350,0.65,31.00,18.00,13.00,12.00,6.00,24.00,23.00,1.80,40.00,14.00,0.00,79.00,30.00,15.40,2.00,9.30,127.00,4.10,89.00,12.00,17.00,80000000.00
351,marcus_rashford_25,Marcus Rashford,25,3,0,1,0,1,13,1,32,17,5,22,17,15.4,3.4,18.8,85,88,245,0.69,20.00,10.00,7.00,8.00,5.00,31.00,27.00,7.00,27.00,14.00,0.00,108.00,49.00,16.40,7.00,15.40,98.00,3.06,61.00,14.00,14.00,80000000.00
393,bernardo_silva_29,Bernardo Silva,29,31,0,1,1,4,8,1,24.5,4,5,9,4,2.2,3.3,5.4,90,130,188,0.37,44.00,23.00,11.00,25.00,8.00,23.00,17.00,1.15,60.00,6.00,0.00,25.00,9.00,18.10,0.00,2.20,75.00,3.06,65.00,1.00,12.00,80000000.00
62,moises_caicedo_21,Moisés Caicedo,21,29,0,0,1,2,19,1,34.9,1,1,2,1,1.7,2.7,4.3,38,219,61,0.06,100.00,50.00,41.00,47.00,12.00,43.00,36.00,2.24,156.00,31.00,3.00,28.00,8.00,23.90,0.00,1.70,88.00,2.52,81.00,3.00,5.00,75000000.00
110,luis_diaz_26,Luis Díaz,26,35,0,1,0,1,10,1,11.1,4,2,6,4,2.5,1.5,4,39,49,116,0.54,17.00,11.00,4.00,8.00,5.00,8.00,8.00,1.50,23.00,2.00,0.00,27.00,8.00,15.10,0.00,2.50,41.00,3.70,29.00,3.00,6.00,75000000.00
140,bruno_fernandes_28,Bruno Fernandes,28,31,0,1,1,4,13,1,36.8,8,8,16,6,7.7,16.7,24.4,89,263,231,0.38,68.00,42.00,24.00,25.00,19.00,37.00,32.00,1.24,93.00,40.00,1.00,90.00,32.00,20.80,6.00,9.30,219.00,5.94,164.00,12.00,18.00,75000000.00
171,jack_grealish_27,Jack Grealish,27,3,0,1,0,1,8,1,22.8,5,7,12,5,4.6,7,11.7,143,100,310,0.53,25.00,16.00,10.00,12.00,3.00,17.00,14.00,1.60,32.00,9.00,0.00,41.00,15.00,15.40,0.00,4.60,104.00,4.55,71.00,6.00,20.00,75000000.00
206,gabriel_jesus_26,Gabriel Jesus,26,12,0,1,0,1,20,1,22.9,11,6,17,10,13.2,3.9,17.1,44,64,194,0.7,33.00,25.00,16.00,8.00,9.00,27.00,24.00,11.00,44.00,15.00,1.00,76.00,31.00,10.60,0.00,14.00,83.00,3.62,43.00,11.00,12.00,75000000.00
510,nicolo_barella_26,Nicolò Barella,26,42,0,0,1,2,23,2,29,6,6,12,6,3.2,5.6,8.8,76,214,162,0.41,49.00,25.00,17.00,26.00,6.00,29.00,24.00,1.11,61.00,12.00,0.00,33.00,13.00,20.60,1.00,3.20,121.00,4.17,103.00,2.00,13.00,75000000.00
1178,frenkie_de_jong_26,Frenkie de Jong,26,9,0,0,1,2,49,3,28.2,2,4,6,2,2.4,4.3,6.7,92,279,83,0.21,46.00,26.00,16.00,21.00,9.00,11.00,10.00,35.00,81.00,22.00,1.00,18.00,10.00,17.80,0.00,2.40,110.00,3.91,94.00,2.00,11.00,75000000.00
103,kevin_de_bruyne_32,Kevin De Bruyne,32,32,0,0,1,2,8,1,26.9,7,16,23,7,5.6,13.7,19.3,100,246,245,0.86,28.00,12.00,3.00,12.00,13.00,27.00,25.00,1.80,37.00,10.00,0.00,65.00,21.00,23.00,7.00,5.60,176.00,6.55,120.00,7.00,31.00,70000000.00
177,bruno_guimaraes_25,Bruno Guimarães,25,12,0,0,1,2,11,1,30.3,4,5,9,4,2.8,4,6.8,41,222,42,0.3,78.00,40.00,27.00,46.00,5.00,28.00,24.00,2.40,114.00,22.00,1.00,28.00,8.00,19.70,0.00,2.80,110.00,3.63,92.00,1.00,12.00,70000000.00
198,alexander_isak_23,Alexander Isak,23,37,0,1,0,1,11,1,16.9,10,1,11,8,6.7,2.2,8.9,41,48,122,0.53,18.00,8.00,4.00,7.00,7.00,21.00,19.00,1.30,22.00,8.00,0.00,49.00,23.00,15.00,0.00,8.20,49.00,2.90,29.00,11.00,5.00,70000000.00
938,dusan_vlahovic_23,Dušan Vlahović,23,47,0,1,0,1,37,2,21.4,10,2,12,8,7.3,2.4,9.8,22,40,117,0.47,11.00,6.00,0.00,7.00,4.00,10.00,7.00,3.00,14.00,8.00,1.00,65.00,20.00,15.50,4.00,9.70,45.00,2.10,27.00,11.00,7.00,70000000.00
997,ronald_araujo_24,Ronald Araújo,24,25,1,0,0,3,49,3,20,0,2,2,0,2.1,0.8,2.9,29,79,11,0.1,26.00,18.00,12.00,13.00,1.00,15.00,8.00,12.00,38.00,41.00,1.00,18.00,1.00,13.10,0.00,2.10,18.00,0.90,15.00,3.00,6.00,70000000.00
1257,eder_militao_25,Éder Militão,25,12,1,0,0,3,47,3,30,5,0,5,5,2.4,0.6,2.9,28,98,16,0.17,46.00,32.00,25.00,18.00,3.00,67.00,28.00,2.10,88.00,104.00,2.00,22.00,8.00,13.80,0.00,2.40,22.00,0.73,19.00,0.00,4.00,70000000.00
13,trent_alexander_arnold_24,Trent Alexander-Arnold,24,3,1,0,0,3,10,1,32.5,2,9,11,2,2.4,11.5,13.8,43,235,139,0.34,57.00,40.00,32.00,16.00,9.00,25.00,18.00,2.11,100.00,41.00,2.00,40.00,8.00,23.80,5.00,2.40,124.00,3.82,81.00,5.00,17.00,65000000.00
202,reece_james_23,Reece James,23,3,1,0,1,5,14,1,13.8,1,1,2,1,1,3,4,52,90,115,0.14,31.00,20.00,10.00,18.00,3.00,17.00,15.00,12.00,43.00,23.00,0.00,16.00,4.00,22.40,2.00,1.00,47.00,3.40,36.00,2.00,3.00,65000000.00
261,alexis_mac_allister_24,Alexis Mac Allister,24,11,0,0,1,2,19,1,32.1,10,2,12,4,7.3,4.3,11.6,69,174,77,0.19,70.00,39.00,22.00,40.00,8.00,26.00,24.00,1.21,92.00,10.00,1.00,80.00,28.00,22.50,8.00,12.10,106.00,3.31,76.00,8.00,8.00,65000000.00
317,darwin_nunez_24,Darwin Núñez,24,25,0,1,0,1,10,1,18.8,9,3,12,9,12.1,5.4,17.5,61,29,181,0.64,11.00,5.00,2.00,4.00,5.00,10.00,10.00,1.20,14.00,13.00,0.00,84.00,35.00,15.10,0.00,12.10,54.00,2.87,35.00,7.00,3.00,65000000.00
374,mohamed_salah_31,Mohamed Salah,31,38,0,1,0,1,10,1,36.6,19,12,31,17,18.5,7.7,26.2,120,149,421,0.79,21.00,12.00,4.00,5.00,12.00,21.00,21.00,6.00,27.00,4.00,0.00,121.00,45.00,15.10,2.00,21.70,140.00,3.83,106.00,12.00,24.00,65000000.00
375,william_saliba_22,William Saliba,22,5,1,0,0,3,20,1,26.8,2,1,3,2,0.9,1.2,2.1,13,99,2,0.11,34.00,20.00,23.00,9.00,2.00,13.00,3.00,19.00,53.00,85.00,4.00,6.00,3.00,13.80,0.00,0.90,14.00,0.52,11.00,0.00,2.00,65000000.00
16,julian_alvarez_23,Julián Álvarez,23,11,0,1,1,4,8,1,16.3,9,0,9,8,6.2,1.8,8,38,37,99,0.49,26.00,16.00,3.00,13.00,10.00,13.00,13.00,2.00,28.00,6.00,0.00,46.00,20.00,16.00,0.00,7.00,52.00,3.20,39.00,5.00,5.00,60000000.00
22,antony_23,Antony,23,12,0,1,0,1,13,1,20,4,2,6,4,6.6,2.9,9.4,95,74,168,0.3,22.00,9.00,9.00,9.00,4.00,18.00,18.00,1.10,33.00,6.00,0.00,72.00,24.00,19.60,0.00,6.60,74.00,3.69,61.00,3.00,7.00,60000000.00
262,james_maddison_26,James Maddison,26,3,0,1,1,4,9,1,27.6,10,9,19,9,6.6,9.3,16,77,151,155,0.65,51.00,26.00,25.00,19.00,7.00,19.00,18.00,1.12,64.00,6.00,1.00,83.00,27.00,21.10,13.00,8.70,138.00,5.01,76.00,7.00,13.00,60000000.00
301,mason_mount_24,Mason Mount,24,3,0,1,1,4,14,1,18.3,3,2,5,3,2,3,5,48,98,114,0.27,33.00,19.00,6.00,16.00,11.00,24.00,18.00,8.00,41.00,9.00,0.00,33.00,9.00,19.70,2.00,2.00,57.00,3.11,42.00,2.00,7.00,60000000.00
365,cristian_romero_25,Cristian Romero,25,11,1,0,0,3,18,1,26.3,0,1,1,0,1.5,1.2,2.6,19,92,9,0.04,68.00,36.00,42.00,24.00,2.00,40.00,22.00,2.12,112.00,102.00,3.00,11.00,2.00,12.30,0.00,1.50,24.00,0.91,22.00,0.00,4.00,60000000.00
515,alessandro_bastoni_24,Alessandro Bastoni,24,42,1,0,0,3,23,2,24,0,2,2,0,1,2.7,3.7,47,141,44,0.08,41.00,20.00,20.00,14.00,7.00,27.00,14.00,24.00,65.00,45.00,0.00,12.00,3.00,13.10,0.00,1.00,52.00,2.17,43.00,2.00,5.00,60000000.00
678,theo_hernandez_25,Theo Hernández,25,5,1,0,0,3,24,2,30.8,4,3,7,3,3.3,3.3,6.6,108,128,146,0.19,43.00,24.00,27.00,15.00,1.00,34.00,27.00,1.20,64.00,35.00,1.00,51.00,11.00,23.10,5.00,4.10,87.00,2.82,51.00,7.00,8.00,60000000.00
768,kim_min_jae_26,Kim Min-jae,26,43,1,0,0,3,40,2,33.9,2,2,4,2,1,1.9,2.9,42,169,8,0.12,55.00,30.00,32.00,22.00,1.00,36.00,10.00,41.00,96.00,123.00,1.00,8.00,3.00,6.60,0.00,1.00,37.00,1.09,34.00,1.00,3.00,60000000.00
1079,ousmane_dembele_26,Ousmane Dembélé,26,5,0,1,0,1,49,3,15.7,5,7,12,5,3.9,4.9,8.8,124,74,209,0.77,19.00,12.00,4.00,8.00,7.00,10.00,9.00,0.00,19.00,2.00,0.00,49.00,16.00,16.70,0.00,3.90,86.00,5.48,52.00,3.00,12.00,60000000.00
1196,jules_kounde_24,Jules Koundé,24,5,1,0,0,3,49,3,27,1,3,4,1,1.1,2.8,3.9,58,185,61,0.15,37.00,23.00,18.00,13.00,6.00,24.00,15.00,19.00,56.00,61.00,3.00,14.00,1.00,14.30,0.00,1.10,41.00,1.52,39.00,1.00,7.00,60000000.00
1341,raphinha_26,Raphinha,26,12,0,1,0,1,49,3,23,7,7,14,7,9.3,9.8,19.1,97,104,339,0.61,29.00,19.00,10.00,7.00,12.00,33.00,32.00,1.13,43.00,11.00,1.00,79.00,25.00,18.50,11.00,9.30,117.00,5.08,77.00,9.00,15.00,60000000.00
116,gabriel_dos_santos_25,Gabriel Dos Santos,25,12,1,0,0,3,20,1,37.9,3,0,3,3,5.1,0.3,5.3,18,153,16,0.08,48.00,30.00,29.00,15.00,4.00,49.00,23.00,1.31,80.00,125.00,2.00,32.00,9.00,11.90,0.00,5.10,24.00,0.63,21.00,2.00,2.00,55000000.00
145,wesley_fofana_22,Wesley Fofana,22,5,1,0,0,3,9,1,2,0,0,0,0,0.1,0,0.1,3,6,1,0,4.00,2.00,1.00,2.00,1.00,1.00,0.00,9.00,13.00,5.00,0.00,2.00,1.00,10.10,0.00,0.10,2.00,1.00,1.00,0.00,0.00,55000000.00
152,cody_gakpo_24,Cody Gakpo,24,9,0,1,1,4,10,1,16.2,7,2,9,7,6.2,2.7,8.9,36,50,109,0.56,26.00,15.00,4.00,13.00,9.00,13.00,12.00,1.30,30.00,2.00,0.00,39.00,12.00,14.80,0.00,6.20,49.00,3.02,37.00,4.00,6.00,55000000.00
182,kai_havertz_24,Kai Havertz,24,24,0,1,1,4,14,1,28.5,7,1,8,6,10.8,3.7,14.6,59,89,218,0.25,34.00,16.00,4.00,20.00,10.00,28.00,28.00,1.60,41.00,41.00,0.00,70.00,31.00,12.70,1.00,11.60,63.00,2.21,54.00,5.00,4.00,55000000.00
409,raheem_sterling_28,Raheem Sterling,28,3,0,1,1,4,14,1,21,6,3,9,6,6.2,4.6,10.8,81,59,186,0.43,18.00,10.00,5.00,4.00,9.00,17.00,17.00,1.10,20.00,5.00,0.00,42.00,16.00,13.60,0.00,6.20,68.00,3.23,53.00,3.00,4.00,55000000.00
454,ben_white_25,Ben White,25,3,1,0,0,3,20,1,33.9,2,5,7,2,1.3,3.2,4.5,64,249,124,0.21,60.00,31.00,23.00,30.00,7.00,47.00,36.00,1.21,82.00,79.00,1.00,10.00,2.00,16.70,0.00,1.30,64.00,1.89,56.00,0.00,13.00,55000000.00
66,joao_cancelo_29,João Cancelo,29,31,1,0,0,3,8,1,14.2,2,1,3,2,0.8,0.9,1.7,72,106,125,0.21,29.00,21.00,16.00,9.00,4.00,7.00,6.00,19.00,48.00,9.00,1.00,17.00,3.00,22.70,0.00,0.80,39.00,2.76,30.00,5.00,6.00,50000000.00
138,joao_felix_23,João Félix,23,31,0,1,1,4,14,1,10.5,4,0,4,4,4.9,0.5,5.4,34,47,79,0.38,14.00,7.00,5.00,6.00,3.00,3.00,3.00,12.31,15.00,1.00,1.00,46.00,16.00,18.00,3.00,4.90,31.00,2.96,13.00,4.00,1.00,50000000.00
189,son_heung_min_31,Son Heung-min,31,43,0,1,1,4,18,1,32.1,10,6,16,10,10.1,6.5,16.6,82,79,196,0.5,24.00,12.00,7.00,8.00,9.00,23.00,21.00,1.12,37.00,6.00,0.00,81.00,38.00,18.30,5.00,10.10,122.00,3.80,74.00,10.00,13.00,50000000.00
214,diogo_jota_26,Diogo Jota,26,31,0,1,0,1,10,1,12.6,7,4,11,7,6.5,2.1,8.6,34,30,104,0.88,23.00,15.00,8.00,8.00,7.00,5.00,5.00,1.20,26.00,11.00,0.00,35.00,11.00,11.70,0.00,6.50,33.00,2.63,23.00,5.00,5.00,50000000.00
236,dejan_kulusevski_23,Dejan Kulusevski,23,37,0,1,1,4,18,1,23,2,7,9,2,2.6,4.7,7.2,87,67,195,0.39,38.00,15.00,23.00,7.00,8.00,19.00,19.00,1.12,51.00,7.00,0.00,43.00,10.00,17.60,0.00,2.60,97.00,4.22,71.00,5.00,11.00,50000000.00
274,lisandro_martinez_25,Lisandro Martínez,25,11,1,0,0,3,13,1,23.5,1,0,1,1,0.5,0.3,0.8,12,83,2,0.04,54.00,28.00,33.00,18.00,3.00,51.00,24.00,33.00,87.00,103.00,0.00,10.00,1.00,14.80,0.00,0.50,18.00,0.77,16.00,1.00,1.00,50000000.00
304,mykhailo_mudryk_22,Mykhailo Mudryk,22,50,0,1,1,4,14,1,7.3,0,2,2,0,1.9,0.9,2.8,25,20,43,0.27,11.00,9.00,2.00,4.00,5.00,7.00,6.00,12.30,11.00,3.00,0.00,14.00,5.00,18.40,0.00,1.90,21.00,2.88,13.00,1.00,2.00,50000000.00
766,sergej_milinkovic_savic_28,Sergej Milinković-Savić,28,47,0,0,1,2,32,2,33.6,9,8,17,9,6.8,7.1,13.9,47,166,129,0.51,58.00,35.00,22.00,23.00,13.00,50.00,38.00,1.27,86.00,49.00,0.00,64.00,19.00,17.30,8.00,6.80,79.00,2.35,67.00,4.00,13.00,50000000.00
889,milan_skriniar_28,Milan Škriniar,28,36,1,0,0,3,23,2,19.7,0,0,0,0,0.8,0.3,1.1,16,81,10,0,29.00,18.00,14.00,11.00,4.00,18.00,5.00,13.00,42.00,46.00,3.00,9.00,2.00,13.00,0.00,0.80,11.00,0.56,11.00,0.00,0.00,50000000.00
918,sandro_tonali_23,Sandro Tonali,23,42,0,0,1,2,24,2,30.1,2,7,9,2,2.4,5.7,8.1,61,159,86,0.3,64.00,41.00,35.00,24.00,5.00,34.00,25.00,1.24,89.00,26.00,1.00,32.00,14.00,22.20,6.00,2.40,101.00,3.35,62.00,6.00,13.00,50000000.00
1009,alejandro_balde_19,Alejandro Balde,19,10,1,0,0,3,49,3,27.5,1,6,7,1,1.9,4.9,6.8,96,79,234,0.25,42.00,30.00,22.00,16.00,4.00,25.00,22.00,1.11,54.00,17.00,1.00,19.00,4.00,17.90,0.00,1.90,66.00,2.40,50.00,2.00,8.00,50000000.00
1255,mikel_merino_27,Mikel Merino,27,10,0,0,1,2,52,3,27.7,2,9,11,2,3.5,5.4,8.9,30,172,107,0.4,77.00,49.00,28.00,33.00,16.00,38.00,30.00,20.00,97.00,51.00,1.00,41.00,16.00,18.10,0.00,4.30,93.00,3.36,81.00,3.00,13.00,50000000.00
358,richarlison_26,Richarlison,26,12,0,1,1,4,18,1,11.2,1,3,4,1,3.3,2.2,5.5,33,28,75,0.36,21.00,16.00,13.00,5.00,3.00,14.00,13.00,1.40,26.00,10.00,0.00,27.00,14.00,12.60,0.00,3.30,35.00,3.12,22.00,4.00,5.00,48000000.00
53,sven_botman_23,Sven Botman,23,9,1,0,0,3,11,1,34.7,0,0,0,0,2.5,1,3.5,8,87,5,0,38.00,24.00,31.00,7.00,0.00,44.00,20.00,2.20,72.00,126.00,2.00,22.00,7.00,10.20,0.00,2.50,24.00,0.69,18.00,5.00,1.00,45000000.00
195,pierre_hojbjerg_28,Pierre Højbjerg,28,15,0,0,1,2,18,1,34.8,4,5,9,4,2,3.1,5.1,46,235,66,0.26,56.00,30.00,28.00,22.00,6.00,46.00,29.00,49.00,105.00,64.00,1.00,33.00,9.00,21.20,0.00,2.00,97.00,2.79,89.00,2.00,14.00,45000000.00
316,matheus_nunes_25,Matheus Nunes,25,31,0,0,1,2,6,1,27.4,1,1,2,1,2.4,2.2,4.7,59,84,129,0.07,67.00,43.00,36.00,22.00,9.00,35.00,31.00,1.15,83.00,35.00,2.00,28.00,9.00,17.60,1.00,2.40,59.00,2.15,49.00,2.00,5.00,45000000.00
323,amadou_onana_22,Amadou Onana,22,32,0,0,1,2,17,1,27.6,1,2,3,1,3,2.6,5.6,27,79,49,0.11,72.00,43.00,24.00,42.00,6.00,25.00,19.00,37.00,109.00,39.00,0.00,34.00,6.00,16.80,0.00,3.00,45.00,1.63,35.00,2.00,2.00,45000000.00
332,lucas_paqueta_26,Lucas Paquetá,26,12,0,0,1,2,4,1,23.9,4,3,7,3,3.6,2.5,6.1,25,147,63,0.25,71.00,53.00,23.00,36.00,12.00,41.00,37.00,1.15,87.00,31.00,0.00,52.00,14.00,19.20,1.00,4.40,79.00,3.30,57.00,8.00,12.00,45000000.00
380,jadon_sancho_23,Jadon Sancho,23,3,0,1,1,4,13,1,18.7,6,3,9,6,4.2,5,9.2,88,76,173,0.48,16.00,10.00,7.00,5.00,4.00,25.00,23.00,1.60,23.00,6.00,0.00,21.00,9.00,14.10,0.00,4.20,87.00,4.64,80.00,2.00,9.00,45000000.00
686,rasmus_hojlund_20,Rasmus Højlund,20,15,0,1,0,1,38,2,20.4,9,2,11,9,9.5,2.4,11.8,40,37,224,0.54,4.00,3.00,0.00,2.00,2.00,9.00,8.00,1.00,5.00,5.00,0.00,54.00,28.00,12.90,0.00,9.50,56.00,2.75,37.00,6.00,5.00,45000000.00
1400,pau_torres_26,Pau Torres,26,10,1,0,0,3,50,3,33.9,1,0,1,1,2.4,1,3.4,76,197,12,0.03,43.00,25.00,25.00,13.00,5.00,36.00,9.00,1.12,56.00,146.00,3.00,12.00,5.00,9.50,0.00,2.40,41.00,1.21,34.00,4.00,1.00,45000000.00
9,nathan_ake_28,Nathan Aké,28,9,1,0,0,3,8,1,20.8,1,0,1,1,1.6,0.7,2.3,25,140,30,0.05,26.00,12.00,15.00,9.00,2.00,20.00,10.00,1.19,46.00,48.00,0.00,9.00,2.00,10.50,0.00,1.60,24.00,1.15,20.00,2.00,2.00,42000000.00
136,fabinho_29,Fabinho,29,12,0,0,1,2,10,1,29.7,0,2,2,0,0.7,2.1,2.9,15,161,39,0.07,65.00,38.00,18.00,40.00,7.00,38.00,27.00,37.00,102.00,40.00,0.00,18.00,4.00,22.00,0.00,0.70,55.00,1.85,49.00,1.00,8.00,42000000.00
208,joelinton_27,Joelinton,27,12,0,1,1,4,11,1,29.6,6,1,7,6,7.1,2.4,9.4,64,130,150,0.24,70.00,49.00,36.00,26.00,8.00,52.00,45.00,2.16,118.00,39.00,0.00,51.00,19.00,14.60,0.00,7.10,80.00,2.71,54.00,8.00,10.00,42000000.00
350,jacob_ramsey_22,Jacob Ramsey,22,3,0,1,1,4,16,1,29.3,6,7,13,6,5,5.1,10.1,94,98,119,0.44,69.00,39.00,23.00,35.00,11.00,48.00,40.00,23.00,92.00,34.00,0.00,33.00,13.00,15.90,0.00,5.00,81.00,2.76,69.00,2.00,11.00,42000000.00
392,luke_shaw_28,Luke Shaw,28,3,1,0,0,3,13,1,28.4,1,2,3,1,1.1,3.6,4.7,53,140,76,0.11,55.00,36.00,31.00,22.00,2.00,51.00,34.00,2.40,91.00,55.00,2.00,14.00,4.00,18.70,1.00,1.10,67.00,2.36,50.00,1.00,7.00,42000000.00
472,oleksandr_zinchenko_26,Oleksandr Zinchenko,26,50,1,0,0,3,20,1,23.5,1,2,3,1,1.4,1.4,2.8,67,227,68,0.13,40.00,18.00,14.00,17.00,9.00,20.00,18.00,1.21,62.00,38.00,2.00,28.00,7.00,22.70,0.00,1.40,56.00,2.38,49.00,4.00,4.00,42000000.00
35,benoit_badiashile_22,Benoît Badiashile,22,5,1,0,0,3,14,1,10.1,1,0,1,1,1.2,0.5,1.6,11,56,2,0.1,14.00,8.00,10.00,4.00,0.00,5.00,3.00,1.15,30.00,34.00,1.00,6.00,2.00,7.20,0.00,1.20,12.00,1.19,11.00,0.00,0.00,40000000.00
