,#,id,Player,age,Nation_map,DF,FW,MF,Position_map,Team_map,Leag_map,90s,Gls,Ast,G+A,G-PK,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,G+A-PK,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Blocks,Pass,Int,Tkl+Int,Clr,Err,Sh,SoT,Dist,FK,xG,SCA,SCA90,PassLive,Sh_Sh,GCA,value,value_log,estimated_value_log,diff_log,estimated_value,diff,absolute_diff
696,442,carlos_vinicius_28,Carlos Vinícius,28,12,0,1,0,1,3,1,12.3,5,2,7,5,3.3,0.8,4.1,9,15,46,0.57,4.0,1.0,0.0,2.0,2.0,7.0,7.0,12.3,4.0,10.0,0.0,21.0,12.0,11.9,0.0,3.3,16.0,1.3,13.0,0.0,6.0,6000000,15.60727002719233,16.309370863227084,-0.702100836034754,12107926.31218744,-6107926.312187441,6107926.312187441
697,471,jordan_zemura_23,Jordan Zemura,23,60,1,0,0,3,12,1,16.2,0,1,1,0,0.4,1.9,2.2,39,45,48,0.06,39.0,24.0,24.0,14.0,1.0,31.0,22.0,16.0,55.0,32.0,0.0,4.0,0.0,12.9,0.0,0.4,35.0,2.17,25.0,2.0,2.0,6000000,15.60727002719233,15.909027070576746,-0.30175704338441633,8113395.917566054,-2113395.9175660536,2113395.9175660536
698,514,toma_basic_26,Toma Bašić,26,30,0,0,1,2,32,2,5.7,1,0,1,1,1.8,0.4,2.2,14,22,29,0.18,6.0,4.0,4.0,1.0,1.0,9.0,9.0,1.6,13.0,8.0,0.0,11.0,5.0,19.6,0.0,1.8,13.0,2.28,7.0,0.0,0.0,6000000,15.60727002719233,15.082709547857267,0.5245604793350633,3550892.5339208683,2449107.4660791317,2449107.4660791317
699,661,joan_gonzalez_21,Joan Gonzàlez,21,10,0,0,1,2,35,2,24.4,1,3,4,1,1.5,1.3,2.8,18,71,67,0.16,48.0,28.0,20.0,18.0,10.0,37.0,29.0,16.0,64.0,28.0,0.0,17.0,4.0,16.4,0.0,1.5,40.0,1.64,31.0,3.0,3.0,6000000,15.60727002719233,15.648808859605754,-0.04153883241342449,6254481.843017848,-254481.8430178482,254481.8430178482
700,673,hans_hateboer_29,Hans Hateboer,29,9,1,0,0,3,38,2,15.5,1,1,2,1,1.3,1.5,2.8,16,55,73,0.13,21.0,13.0,11.0,8.0,2.0,23.0,19.0,1.11,33.0,25.0,0.0,12.0,4.0,10.5,0.0,1.3,22.0,1.42,19.0,1.0,1.0,6000000,15.60727002719233,15.58253120331874,0.024738823873589055,5853388.037762974,146611.9622370256,146611.9622370256
701,679,isak_hien_24,Isak Hien,24,37,1,0,0,3,21,2,29.0,0,0,0,0,0.3,0.1,0.4,17,54,2,0.0,73.0,36.0,54.0,19.0,0.0,40.0,23.0,1.3,104.0,92.0,1.0,3.0,0.0,8.6,0.0,0.3,18.0,0.62,15.0,0.0,0.0,6000000,15.60727002719233,15.602217980302692,0.005052046889638007,5969764.159413905,30235.840586095117,30235.840586095117
702,730,matteo_lovato_23,Matteo Lovato,23,42,1,0,0,3,39,2,9.0,0,0,0,0,0.0,0.0,0.0,1,8,1,0.0,17.0,14.0,14.0,3.0,0.0,8.0,3.0,13.0,30.0,33.0,2.0,1.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000000,15.60727002719233,14.976959239597882,0.630310787594448,3194557.8228048678,2805442.1771951322,2805442.1771951322
703,752,marlon_27,Marlon,27,12,1,0,0,3,33,2,17.7,0,0,0,0,0.2,0.3,0.6,19,63,12,0.0,35.0,21.0,20.0,14.0,1.0,13.0,9.0,1.17,53.0,50.0,0.0,5.0,1.0,11.0,0.0,0.3,7.0,0.4,6.0,1.0,0.0,6000000,15.60727002719233,15.324173060445023,0.28309696674730667,4520680.350235483,1479319.6497645173,1479319.6497645173
704,772,henrikh_mkhitaryan_34,Henrikh Mkhitaryan,34,78,0,0,1,2,23,2,22.1,3,2,5,3,2.8,2.1,4.9,48,133,74,0.23,41.0,26.0,13.0,22.0,6.0,27.0,23.0,21.0,62.0,18.0,0.0,35.0,6.0,19.9,0.0,2.8,80.0,3.63,61.0,5.0,8.0,6000000,15.60727002719233,15.340122571035945,0.26714745615638513,4593361.059485617,1406638.940514383,1406638.940514383
705,777,dany_mota_25,Dany Mota,25,31,0,1,1,4,33,2,21.2,5,1,6,5,5.1,2.1,7.3,66,34,166,0.28,8.0,7.0,1.0,3.0,4.0,5.0,4.0,6.0,14.0,25.0,0.0,28.0,11.0,12.1,0.0,5.1,57.0,2.68,42.0,6.0,8.0,6000000,15.60727002719233,15.69763654063977,-0.09036651344744051,6567452.320766284,-567452.3207662841,567452.3207662841
706,798,divock_origi_28,Divock Origi,28,32,0,1,0,1,24,2,11.4,2,1,3,2,2.1,1.2,3.3,24,18,79,0.26,10.0,5.0,4.0,3.0,3.0,6.0,4.0,0.0,10.0,13.0,0.0,29.0,12.0,18.2,0.0,2.1,24.0,2.11,15.0,3.0,1.0,6000000,15.60727002719233,15.919040359602818,-0.3117703324104877,8195045.805611354,-2195045.8056113543,2195045.8056113543
707,814,roberto_pereyra_32,Roberto Pereyra,32,11,1,0,1,5,34,2,31.3,5,7,12,5,3.9,5.5,9.5,66,143,186,0.38,36.0,20.0,21.0,12.0,3.0,20.0,15.0,16.0,52.0,28.0,0.0,41.0,16.0,17.0,1.0,4.7,104.0,3.31,91.0,5.0,10.0,6000000,15.60727002719233,15.522894057336508,0.08437596985582196,5514513.855795157,485486.14420484286,485486.14420484286
708,845,ante_rebic_29,Ante Rebić,29,30,0,1,1,4,24,2,10.9,3,2,5,3,3.5,2.0,5.5,17,29,92,0.46,10.0,8.0,1.0,3.0,6.0,6.0,5.0,1.0,11.0,5.0,0.0,27.0,13.0,16.0,2.0,3.5,34.0,3.12,23.0,4.0,3.0,6000000,15.60727002719233,16.024761813709812,-0.4174917865174823,9108893.607345255,-3108893.607345255,3108893.607345255
709,882,eldor_shomurodov_28,Eldor Shomurodov,28,83,0,1,0,1,27,2,9.0,1,1,2,1,2.8,1.4,4.2,7,15,53,0.22,5.0,5.0,3.0,1.0,1.0,5.0,4.0,1.2,8.0,4.0,0.0,18.0,4.0,15.7,0.0,2.8,19.0,2.12,17.0,0.0,1.0,6000000,15.60727002719233,14.961296066688199,0.645973960504131,3144910.7416740786,2855089.2583259214,2855089.2583259214
710,907,adrien_tameze_29,Adrien Tameze,29,48,0,0,1,2,21,2,33.7,0,0,0,0,0.9,0.9,1.8,32,103,58,0.0,51.0,30.0,21.0,26.0,4.0,51.0,37.0,37.0,88.0,55.0,2.0,12.0,2.0,22.8,0.0,0.9,53.0,1.57,44.0,1.0,3.0,6000000,15.60727002719233,15.809348336630258,-0.20207830943792793,7343663.104281748,-1343663.1042817477,1343663.1042817477
711,916,rafael_toloi_32,Rafael Tolói,32,42,1,0,0,3,38,2,30.9,2,1,3,2,2.8,1.2,4.0,21,148,29,0.1,69.0,44.0,37.0,32.0,0.0,42.0,24.0,57.0,126.0,88.0,1.0,29.0,9.0,13.2,0.0,2.8,47.0,1.52,39.0,4.0,8.0,6000000,15.60727002719233,15.75388186700922,-0.14661183981688986,6947426.540374787,-947426.5403747866,947426.5403747866
712,956,alessandro_zanoli_22,Alessandro Zanoli,22,42,1,0,0,3,36,2,17.1,2,3,5,2,2.6,1.2,3.8,50,36,60,0.29,22.0,14.0,14.0,6.0,2.0,19.0,4.0,1.11,34.0,39.0,0.0,15.0,7.0,13.8,0.0,2.6,35.0,2.05,25.0,1.0,3.0,6000000,15.60727002719233,15.572132335995299,0.03513769119703092,5792834.820269489,207165.17973051127,207165.17973051127
713,1002,iago_aspas_36,Iago Aspas,36,10,0,1,0,1,45,3,31.9,12,3,15,10,8.7,5.6,14.3,80,162,239,0.41,8.0,4.0,0.0,4.0,4.0,10.0,9.0,1.6,15.0,23.0,0.0,75.0,29.0,19.5,7.0,11.1,141.0,4.42,110.0,8.0,8.0,6000000,15.60727002719233,15.889723333750762,-0.28245330655843226,7958279.04246729,-1958279.0424672896,1958279.0424672896
714,1015,ander_barrenetxea_21,Ander Barrenetxea,21,10,1,1,0,6,52,3,9.8,3,1,4,3,3.0,1.2,4.2,36,27,72,0.41,21.0,15.0,15.0,6.0,0.0,15.0,14.0,1.4,26.0,7.0,0.0,18.0,12.0,14.9,2.0,3.0,28.0,2.87,22.0,2.0,2.0,6000000,15.60727002719233,15.944369671632966,-0.3370996444406362,8405271.879319381,-2405271.879319381,2405271.879319381
715,1034,ante_budimir_32,Ante Budimir,32,30,0,1,0,1,56,3,20.0,8,0,8,8,7.7,0.7,8.3,23,23,98,0.4,19.0,9.0,0.0,12.0,7.0,10.0,10.0,5.0,24.0,19.0,0.0,58.0,21.0,11.6,0.0,7.7,34.0,1.7,21.0,3.0,1.0,6000000,15.60727002719233,15.350036604650224,0.25723342254210557,4639126.279549633,1360873.7204503668,1360873.7204503668
716,1051,samu_castillejo_28,Samu Castillejo,28,10,0,1,1,4,53,3,15.1,4,0,4,4,2.9,3.0,5.9,54,76,115,0.26,21.0,12.0,8.0,9.0,4.0,21.0,19.0,9.0,30.0,2.0,0.0,37.0,10.0,18.5,2.0,2.9,63.0,4.16,38.0,4.0,1.0,6000000,15.60727002719233,15.918799334083268,-0.3115293068909377,8193070.82845783,-2193070.8284578295,2193070.8284578295
717,1080,mouctar_diakhaby_26,Mouctar Diakhaby,26,46,1,0,0,3,53,3,27.2,3,0,3,3,2.7,0.3,3.0,19,86,11,0.11,30.0,16.0,19.0,11.0,0.0,30.0,13.0,1.19,50.0,111.0,2.0,21.0,7.0,10.9,0.0,2.7,15.0,0.55,13.0,2.0,1.0,6000000,15.60727002719233,15.97625443649885,-0.36898440930652043,8677590.331342813,-2677590.3313428126,2677590.3313428126
718,1121,alvaro_garcia_30,Álvaro García,30,10,0,1,1,4,58,3,31.9,5,5,10,5,3.6,5.7,9.3,116,71,293,0.31,49.0,28.0,21.0,13.0,15.0,41.0,37.0,34.0,83.0,24.0,1.0,52.0,21.0,17.7,0.0,3.6,95.0,2.98,70.0,6.0,14.0,6000000,15.60727002719233,15.709008286808658,-0.10173825961632765,6642561.976093151,-642561.9760931507,642561.9760931507
719,1129,ruben_garcia_30,Rubén García,30,10,0,1,1,4,56,3,12.9,2,2,4,2,1.8,2.0,3.8,16,40,92,0.31,20.0,11.0,12.0,4.0,4.0,14.0,13.0,12.0,32.0,13.0,0.0,20.0,4.0,19.1,1.0,1.8,54.0,4.2,29.0,2.0,4.0,6000000,15.60727002719233,15.306086716333516,0.3011833108588142,4439652.725329235,1560347.2746707648,1560347.2746707648
720,1181,willian_jose_31,Willian José,31,12,0,1,0,1,41,3,8.1,2,1,3,1,2.2,1.3,3.5,6,14,27,0.25,9.0,6.0,6.0,3.0,0.0,4.0,4.0,1.0,10.0,15.0,0.0,20.0,6.0,18.7,2.0,2.9,12.0,1.48,9.0,3.0,2.0,6000000,15.60727002719233,15.379113837571326,0.2281561896210036,4775999.5391960265,1224000.4608039735,1224000.4608039735
721,1182,joselu_33,Joselu,33,10,0,1,0,1,59,3,33.2,16,2,18,11,10.5,2.4,13.0,23,66,147,0.39,13.0,11.0,3.0,4.0,6.0,25.0,21.0,8.0,21.0,43.0,0.0,87.0,33.0,16.1,2.0,14.5,66.0,1.99,41.0,7.0,8.0,6000000,15.60727002719233,15.62541698847449,-0.018146961282159424,6109875.7075304305,-109875.70753043052,109875.70753043052
722,1227,nemanja_maksimovic_28,Nemanja Maksimović,28,47,0,0,1,2,51,3,22.8,0,0,0,0,1.8,0.6,2.3,13,42,29,0.0,41.0,30.0,17.0,18.0,6.0,36.0,22.0,2.2,75.0,27.0,0.0,18.0,7.0,14.2,0.0,1.8,30.0,1.31,25.0,3.0,1.0,6000000,15.60727002719233,15.490460844449201,0.11680918274312901,5338529.74539719,661470.2546028104,661470.2546028104
